Na pozemní komunikaci o třech nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy smí řidič nákladního automobilu o celkové hmotnosti převyšující 3 500 kg, jízdní soupravy, jejíž celková délka přesahuje 7 m, zvláštního motorového vozidla a motocyklu s nejvyšší povolenou rychlostí do 45 km/h užít k jízdě:|B|kteréhokoliv jízdního pruhu bez ohledu na jízdní úkon.|výhradně dvou jízdních pruhů nejbližších k pravému okraji vozovky; v ostatních jízdních pruzích smí jet tehdy, jestliže je to nutné k objíždění, otáčení nebo odbočování.|výhradně pravého jízdního pruhu.
Nesvítí-li zadní obrysové světlo na straně přivrácené do středu vozovky:|C|vozidlo smí být užito v provozu pouze při rychlosti jízdy maximálně 40 km/h.|vozidlo smí být užito v silničním provozu bez omezení.|vozidlo nesmí být užito v provozu na pozemních komunikacích, s výjimkou nouzového dojetí.
Policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku (tzv. botičky) nebo odtažením vozidla, jestliže:|A|je důvodné podezření, že vozidlo bylo odcizeno.|na vozidle není umístěna státní poznávací značka.|řidič při kontrole nepředloží osvědčení o registraci vozidla a doklad o pojištění odpovědnosti z provozu vozidla.
U poraněného s podezřením na úraz páteře:|B|smím s poraněným manipulovat bez omezení.|manipuluji s poraněným co nejméně, pouze v souvislosti se zajištěním životních funkcí.|s poraněným v žádném případě nehýbu.
"Nesmět omezit" znamená:|A|povinnost počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nebylo nijak překáženo.|povinnost řidiče předjíždět vždy pouze vlevo.|povinnost řidiče užívat pouze potkávací světla.
"Nesmět omezit" znamená:|B|povinnost řidiče jet vždy při pravém okraji vozovky.|povinnost počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nebylo nijak překáženo.|povinnost řidiče dávat přednost v jízdě.
Nesmět omezit znamená povinnost počínat si tak, aby:|C|jiný řidič mohl bezpečně zastavit vozidlo.|druhý řidič nemusel náhle snížit rychlost jízdy nebo zastavit.|jinému účastníku provozu na pozemních komunikacích nebylo nijak překáženo.
Nesmět omezit znamená povinnost:|A|počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nebylo nijak překáženo.|počínat si tak, aby jinému účastníku provozu na pozemních nevzniklo žádné nebezpečí.|počínat si tak, aby jinému účastníku provozu na pozemních komunikacích neomezoval rychlou jízdu.
Nesmět ohrozit znamená povinnost počínat si tak, aby:|A|jinému účastníku provozu na pozemních komunikacích nevzniklo žádné nebezpečí.|druhý řidič nemusel zastavit vozidlo.|žádný řidič nemusel ani mírně snížit rychlost jízdy.
Nesmět ohrozit znamená povinnost:|A|počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nevzniklo žádné nebezpečí.|počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nijak nepřekážel.|počínat si tak, aby si řidič při účasti v provozu na pozemních komunikacích nepoškodil vozidlo.
Chodce, který přechází pozemní komunikaci po přechodu pro chodce nebo který zjevně hodlá přecházet pozemní komunikaci po přechodu pro chodce:|A|řidič nesmí ohrozit nebo omezit, v případě potřeby je řidič povinen i zastavit vozidlo před přechodem pro chodce; tyto povinnosti se nevztahují na řidiče tramvaje.|řidič nesmí ohrozit, ale může je omezit.|řidič nesmí ohrozit nebo omezit, v případě potřeby je řidič povinen i zastavit vozidlo před přechodem pro chodce; tyto povinnosti se vztahují na všechny řidiče.
Vztahuje se na řidiče tramvaje povinnost zastavit vozidlo před přechodem pro chodce, pokud by ohrozil nebo omezil chodce, který zjevně hodlá přecházet pozemní komunikaci po přechodu pro chodce?|A|Ne.|Ano.
Řidič, který při předjíždění vybočuje ze směru své jízdy:|A|musí dávat znamení o změně směru jízdy a nesmí ohrozit řidiče jedoucího za ním.|znamení o změně směru jízdy nedává.|musí dávat znamení o změně směru jízdy jen pokud za ním jede další vozidlo.
Řidič, který při předjíždění motorového vozidla vybočuje ze směru své jízdy,:|B|nemusí dávat znamení o změně směru jízdy, pokud při předjíždění neomezí ani neohrozí řidiče jedoucí za ním.|musí dávat znamení o změně směru jízdy a nesmí ohrozit řidiče jedoucího za ním.|dává znamení o změně směru jízdy jen tehdy, pokud řidiče předjížděného vozidla předem neupozornil jiným způsobem.
Řidič nesmí předjíždět:|B|na přechodu pro chodce; na přejezdu pro cyklisty však předjíždět smí.|na přechodu pro chodce nebo na přejezdu pro cyklisty a bezprostředně před nimi.|bezprostředně za přechodem pro chodce nebo za přejezdem pro cyklisty.
Řidič nesmí předjíždět:|A|na přechodu pro chodce nebo na přejezdu pro cyklisty a bezprostředně před nimi.|bezprostředně za přechodem pro chodce nebo za přejezdem pro cyklisty.|na křižovatce s řízeným provozem.
Povinnost nesmět ohrozit a nesmět omezit se vztahuje|B|pouze na řidiče.|na všechny účastníky provozu na pozemních komunikacích, kterým je tato povinnost stanovena zákonem.|pouze na chodce.
Kolonou vozidel se rozumí:|C|proud vozidel s výjimkou motocyklů, který při předjíždění nebo objíždění neumožňuje bezpečné zařazení.|souvislý proud více vozidel, u kterého lze předjíždět každé vozidlo jednotlivě, rozestup mezi jednotlivými vozidly při předjíždění nebo objíždění umožňuje bezpečné zařazení.|souvislý proud více vozidel, u kterého nelze předjíždět každé vozidlo jednotlivě, rozestup mezi jednotlivými vozidly při předjíždění nebo objíždění neumožňuje bezpečné zařazení.
Řidič, který dosáhl 12 bodů a pozbyl řidičské oprávnění, je oprávněn požádat o vrácení řidičského oprávnění nejdříve po uplynutí:|B|půl roku ode dne pozbytí řidičského oprávnění.|1 roku ode dne pozbytí řidičského oprávnění.|1 roku ode dne právní moci rozhodnutí o zákazu činnosti spočívající v zákazu řízení všech motorových vozidel.
Na výzvu policisty je řidič povinen podrobit vozidlo kontrole technického stavu vozidla. Zjistí-li se při této kontrole vážná nebo nebezpečná závada|A|náklady na provedení kontroly je povinen uhradit policii řidič vozidla.|náklady na provedení kontroly hradí pojišťovna, u které je vozidlo pojištěno.|náklady na provedení kontroly hradí provozovatel vozidla.
Řidič, který dosáhl 12 bodů a pozbyl řidičské oprávnění, musí při podání žádosti o vrácení řidičského oprávnění:|C|prokázat, že se podrobil přezkoušení z odborné způsobilosti a předložit výpis z evidenční karty řidiče.|prokázat, že je zdravotně způsobilý a předložit potvrzení o absolvování výuky a výcviku v autoškole.|prokázat, že se podrobil přezkoušení z odborné způsobilosti a předložit posudek o zdravotní způsobilosti včetně dopravně psychologického vyšetření.
Zákaz účasti na sportovních a podobných akcích, jestliže by jimi mohla být ohrožena bezpečnost silničního provozu, nejde-li o akce pořádané v souladu s rozhodnutím příslušného správního úřadu o zvláštním užívání pozemní komunikace:|C|platí na všech pozemních komunikacích s výjimkou dálnic.|platí na dálnici, silnici a místní komunikaci v období od 1.6. do 30.9.|platí na dálnici, silnici a místní komunikaci.
Je-li důvodné podezření, že motorové vozidlo bylo užito při nepovolené sportovní akci na pozemní komunikaci:|B|policista může zabránit v jízdě motorovému vozidlu odejmutím registračních značek.|policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku nebo odtažením vozidla.|policista může zabránit v jízdě motorovému vozidlu použitím zastavovacího pásu.
Nesvítí-li potkávací světlo na straně přivrácené do středu vozovky:|C|vozidlo smí být užito v provozu pouze při rychlosti jízdy maximálně 40 km/h.|vozidlo smí být užito v silničním provozu bez omezení.|vozidlo nesmí být užito v provozu na pozemních komunikacích, s výjimkou nouzového dojetí.
Policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku (tzv. botičky) nebo odtažením vozidla, jestliže:|A|vozidlo je technicky nezpůsobilé k provozu tak závažným způsobem, že bezprostředně ohrožuje ostatní účastníky provozu.|vozidlo je z jakéhokoliv důvodu technicky nezpůsobilé k provozu.|k vozidlu není uzavřeno pojištění odpovědnosti z provozu vozidla.
"Nesmět ohrozit" znamená:|A|povinnost počínat si tak, aby jinému účastníku provozu na pozemních komunikacích nevzniklo žádné nebezpečí.|povinnost počínat si tak, aby ostatním účastníkům provozu na pozemních komunikacích nepřekážel.|povinnost chodce přecházet pouze na přechodech pro chodce.
Řidič nesmí ohrozit chodce:|C|jen pokud přecházejí na vyznačeném přechodu pro chodce v obci.|pouze při otáčení nebo couvání.|přecházejícího pozemní komunikaci, na kterou řidič odbočuje, při odbočování na místo ležící mimo pozemní komunikaci, při vjíždění na pozemní komunikaci a při otáčení nebo couvání.
Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:|B|Přibližně 60 stlačení za minutu.|Přibližně 100 stlačení za minutu.|Přibližně 20 stlačení za minutu.
Pří zevní srdeční masáži|B|vždy poraněného přesunu na pevnou podložku|zahájím nepřímou srdeční masáž i v nevýhodné poloze (např. v sedu při zaklínění ve voze), pokud nelze poraněného rychle vyprostit|pokud není poraněný na pevné podložce, srdeční masáž nezahájím
Dálnice, silnice a místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:|A|Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací a povětrnostním situacím a jejich důsledkům.|Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací. Na  povětrnostní situaci a její důsledky nemusí brát zřetel.|Vlastnostem vozidla a nákladu bez ohledu na dopravně technický stav těchto pozemních komunikací a povětrnostní situaci a její důsledky.
Žadatel o řidičské oprávnění smí řídit motorové vozidlo skupiny, o kterou žádá:|A|pod dohledem učitele autoškoly.|pod dohledem osoby s nejméně pětiletou praxí v řízení.|pod dohledem rodičů, nebo zákonného zástupce.
Platnost zónových dopravních značek:|B|je ukončena na nejbližší křižovatce.|je ukončena dopravní značkou informující o jejím konci, není-li stanoveno jinak.|končí po 100 m od značky.
Řidič se smí otáčet:|A|na křižovatce, na které je provoz upraven dopravními značkami.|na přejezdu pro cyklisty.|na křižovatce, na které je provoz řízen světelnými signály.
S kamarády jste se ve večerních hodinách zúčastnil oslavy a v době od 20:00 do 24:00 hodin jste vypil šest 12 stupňových piv (6 x 0,5 litru) a 5 velkých panáků (5 x 40 ml) tvrdého alkoholu. Můžete ráno v 5:00 hodin po vydatné snídani a studené sprše bez obav řídit vozidlo?|A|Ne.|Ano.
Jako řidič motorového vozidla musíte v zimě před vyjetím očistit vozidlo od nečistot, sněhu a námrazy, které:|B|zabraňují výhledu z místa řidiče vpřed a do stran.|zabraňují výhledu z místa řidiče vpřed, vzad a do stran.|zabraňují výhledu z místa řidiče vpřed a vzad.
Zastavuje-li řidič u okraje pozemní komunikace:|B|nesmí dávat znamení o změně směru jízdy.|musí dávat znamení o změně směru jízdy.|může dávat znamení o změně směru jízdy.
Jaké platí v České republice legislativní podmínky pro používání dětských zádržných systémů?|B|Dítě musí být umístěno v dětském zádržném systému do věku 12 let.|Dítě, jehož tělesná hmotnost nepřevyšuje 36 kg a tělesná výška nepřevyšuje 150 cm musí být umístěno v dětském zádržném systému.|Používání dětského zádržného systému není legislativně upraveno.
Smí se s nákladním automobilem s okamžitou hmotností 12 000 kg vléci na tyči nákladní automobil,který má poruchu na brzdovém systému a má okamžitou hmotnost 15 000 kg?|C|Nesmí. Vozidlo s poškozeným brzdovým systémem se nesmí vléci vůbec.|Smí. Okamžité hmotnosti vozidel při vlečení na tyči nerozhodují.|Nesmí. Nemá-li vlečené vozidlo účinné brzdy, nesmí jeho okamžitá hmotnost být vyšší než okamžitá hmotnost vlečného vozidla.
Pro řízení soupravy traktoru s přípojným vozidlem je potřeba řidičské oprávnění:|C|D+E.|T+E.|T.
Pokud sedadlo spolujezdce v kabině nákladního automobilu není vybaveno zádržným bezpečnostním systémem, je zakázáno:|A|Přepravovat na tomto sedadle dítě menší než 150 cm nebo dítě mladší 3 let.|Přepravovat na tomto sedadle osoby mladší 15 let.|Přepravovat na tomto sedadle osoby, jejichž tělesná hmotnost nepřevyšuje 36 kg.
